Name,"Hours with subtasks","Hours without subtasks"
Science/Work,"1028h 52m","7h 20m"
"     In The Office / Actively Working Elsewhere","1015h 19m","1015h 19m"
"     Other Publications","6h 12m","6h 12m"
Student/Classes,"75h 10m",11s
"     In Class","57h 39m","57h 39m"
     Classwork,"17h 30m","17h 30m"
Citizenship,"38h 15m",
     Volunteering,"34h 03m","34h 03m"
     Trainings,"4h 12m","4h 12m"
"(time without task assigned)","3h 07m","3h 07m"
Health,"1h 33m",
     Exercise,"1h 33m","1h 33m"
Total,"1146h 59m","1146h 59m"
